TIME,GEO,ANIMALS,MONTH,UNIT,Value
2000,European Union - 15 countries (1995-2004),Live bovine animals,December,Thousand heads (animals),"80,014.90"
2000,European Union - 15 countries (1995-2004),"Bovine animals, less than 1 year",December,Thousand heads (animals),"23,360.31"
2000,European Union - 15 countries (1995-2004),"Bovine animals, less than 1 year, for slaughter",December,Thousand heads (animals),"4,040.02"
2000,European Union - 15 countries (1995-2004),"Bovine animals, less than 1 year, not for slaughter",December,Thousand heads (animals),"19,320.29"
2000,European Union - 15 countries (1995-2004),"Bovine animals, 1 year",December,Thousand heads (animals),"16,845.64"
2000,Belgium,Live bovine animals,December,Thousand heads (animals),"3,001.06"
2000,Belgium,"Bovine animals, less than 1 year",December,Thousand heads (animals),837.32
2000,Belgium,"Bovine animals, less than 1 year, for slaughter",December,Thousand heads (animals),179.75
2000,Belgium,"Bovine animals, less than 1 year, not for slaughter",December,Thousand heads (animals),657.57
2000,Belgium,"Bovine animals, 1 year",December,Thousand heads (animals),608.61
2000,Bulgaria,Live bovine animals,December,Thousand heads (animals),652.2
2000,Bulgaria,"Bovine animals, less than 1 year",December,Thousand heads (animals),200.8
2000,Bulgaria,"Bovine animals, less than 1 year, for slaughter",December,Thousand heads (animals),96.5
2000,Bulgaria,"Bovine animals, less than 1 year, not for slaughter",December,Thousand heads (animals),104.3
2000,Bulgaria,"Bovine animals, 1 year",December,Thousand heads (animals),44.1
2000,Czechia,Live bovine animals,December,Thousand heads (animals),"1,582.00"
2000,Czechia,"Bovine animals, less than 1 year",December,Thousand heads (animals),483
2000,Czechia,"Bovine animals, less than 1 year, not for slaughter",December,Thousand heads (animals),483
2000,Czechia,"Bovine animals, 1 year",December,Thousand heads (animals),374
2000,Denmark,Live bovine animals,December,Thousand heads (animals),"1,891.00"
2000,Denmark,"Bovine animals, less than 1 year",December,Thousand heads (animals),605
2000,Denmark,"Bovine animals, less than 1 year, for slaughter",December,Thousand heads (animals),6
2000,Denmark,"Bovine animals, less than 1 year, not for slaughter",December,Thousand heads (animals),599
2000,Denmark,"Bovine animals, 1 year",December,Thousand heads (animals),371
2000,Germany (until 1990 former territory of the FRG),Live bovine animals,December,Thousand heads (animals),"14,567.74"
2000,Germany (until 1990 former territory of the FRG),"Bovine animals, less than 1 year",December,Thousand heads (animals),"4,618.33"
2000,Germany (until 1990 former territory of the FRG),"Bovine animals, less than 1 year, for slaughter",December,Thousand heads (animals),126.96
2000,Germany (until 1990 former territory of the FRG),"Bovine animals, less than 1 year, not for slaughter",December,Thousand heads (animals),"4,491.37"
2000,Germany (until 1990 former territory of the FRG),"Bovine animals, 1 year",December,Thousand heads (animals),"3,399.14"
2000,Estonia,Live bovine animals,December,Thousand heads (animals),252.8
2000,Estonia,"Bovine animals, less than 1 year",December,Thousand heads (animals),61.1
2000,Estonia,"Bovine animals, less than 1 year, for slaughter",December,Thousand heads (animals),10.5
2000,Estonia,"Bovine animals, less than 1 year, not for slaughter",December,Thousand heads (animals),50.6
2000,Estonia,"Bovine animals, 1 year",December,Thousand heads (animals),44.8
2000,Ireland,Live bovine animals,December,Thousand heads (animals),"6,330.19"
2000,Ireland,"Bovine animals, less than 1 year",December,Thousand heads (animals),"1,689.97"
2000,Ireland,"Bovine animals, less than 1 year, for slaughter",December,Thousand heads (animals),0
2000,Ireland,"Bovine animals, less than 1 year, not for slaughter",December,Thousand heads (animals),"1,689.97"
2000,Ireland,"Bovine animals, 1 year",December,Thousand heads (animals),"1,418.15"
2000,Greece,Live bovine animals,December,Thousand heads (animals),568
2000,Greece,"Bovine animals, less than 1 year",December,Thousand heads (animals),164
2000,Greece,"Bovine animals, less than 1 year, for slaughter",December,Thousand heads (animals),116
2000,Greece,"Bovine animals, less than 1 year, not for slaughter",December,Thousand heads (animals),48
2000,Greece,"Bovine animals, 1 year",December,Thousand heads (animals),90
2000,Spain,Live bovine animals,December,Thousand heads (animals),"6,163.89"
2000,Spain,"Bovine animals, less than 1 year",December,Thousand heads (animals),"2,093.88"
2000,Spain,"Bovine animals, less than 1 year, for slaughter",December,Thousand heads (animals),"1,483.12"
2000,Spain,"Bovine animals, less than 1 year, not for slaughter",December,Thousand heads (animals),610.76
2000,Spain,"Bovine animals, 1 year",December,Thousand heads (animals),723.21
