TIME,GEO,WST_OPER,UNIT,Value
2000,European Union - 28 countries,Waste generated,Thousand tonnes,"254,047"
2000,European Union - 28 countries,Waste treatment,Thousand tonnes,"242,545"
2000,European Union - 28 countries,Recycling - material,Thousand tonnes,"40,290"
2000,European Union - 27 countries (2007-2013),Waste generated,Thousand tonnes,"252,874"
2000,European Union - 27 countries (2007-2013),Waste treatment,Thousand tonnes,"241,666"
2000,European Union - 27 countries (2007-2013),Recycling - material,Thousand tonnes,"40,290"
2000,Belgium,Waste generated,Thousand tonnes,"4,830"
2000,Belgium,Waste treatment,Thousand tonnes,"4,895"
2000,Belgium,Recycling - material,Thousand tonnes,"1,245"
2000,Bulgaria,Waste generated,Thousand tonnes,"4,998"
2000,Bulgaria,Waste treatment,Thousand tonnes,"4,046"
2000,Bulgaria,Recycling - material,Thousand tonnes,775
2000,Czechia,Waste generated,Thousand tonnes,"3,434"
2000,Czechia,Waste treatment,Thousand tonnes,"3,250"
2000,Czechia,Recycling - material,Thousand tonnes,19
2000,Denmark,Waste generated,Thousand tonnes,"3,546"
2000,Denmark,Waste treatment,Thousand tonnes,"3,546"
2000,Denmark,Recycling - material,Thousand tonnes,755
2000,Germany (until 1990 former territory of the FRG),Waste generated,Thousand tonnes,"52,810"
2000,Germany (until 1990 former territory of the FRG),Waste treatment,Thousand tonnes,"52,810"
2000,Germany (until 1990 former territory of the FRG),Recycling - material,Thousand tonnes,"20,144"
2000,Estonia,Waste generated,Thousand tonnes,633
2000,Estonia,Waste treatment,Thousand tonnes,616
2000,Estonia,Recycling - material,Thousand tonnes,13
2000,Ireland,Waste generated,Thousand tonnes,"2,279"
2000,Ireland,Waste treatment,Thousand tonnes,"2,364"
2000,Ireland,Recycling - material,Thousand tonnes,254
2000,Greece,Waste generated,Thousand tonnes,"4,447"
2000,Greece,Waste treatment,Thousand tonnes,"4,447"
2000,Greece,Recycling - material,Thousand tonnes,359
2000,Spain,Waste generated,Thousand tonnes,"26,505"
2000,Spain,Waste treatment,Thousand tonnes,"19,905"
2000,Spain,Recycling - material,Thousand tonnes,"1,778"
2000,France,Waste generated,Thousand tonnes,"31,232"
2000,France,Waste treatment,Thousand tonnes,"31,232"
2000,France,Recycling - material,Thousand tonnes,"4,045"
2000,Croatia,Waste generated,Thousand tonnes,"1,173"
2000,Italy,Waste generated,Thousand tonnes,"28,959"
2000,Italy,Waste treatment,Thousand tonnes,"28,279"
2000,Italy,Recycling - material,Thousand tonnes,"2,888"
2000,Cyprus,Waste generated,Thousand tonnes,436
2000,Cyprus,Waste treatment,Thousand tonnes,436
2000,Cyprus,Recycling - material,Thousand tonnes,13
2000,Latvia,Waste generated,Thousand tonnes,642
2000,Latvia,Waste treatment,Thousand tonnes,597
2000,Lithuania,Waste generated,Thousand tonnes,"1,276"
2000,Lithuania,Waste treatment,Thousand tonnes,"1,209"
2000,Luxembourg,Waste generated,Thousand tonnes,285
2000,Luxembourg,Waste treatment,Thousand tonnes,285
2000,Luxembourg,Recycling - material,Thousand tonnes,62
2000,Hungary,Waste generated,Thousand tonnes,"4,552"
2000,Hungary,Waste treatment,Thousand tonnes,"4,157"
2000,Hungary,Recycling - material,Thousand tonnes,56
2000,Malta,Waste generated,Thousand tonnes,208
2000,Malta,Waste treatment,Thousand tonnes,208
2000,Malta,Recycling - material,Thousand tonnes,1
2000,Netherlands,Waste generated,Thousand tonnes,"9,529"
2000,Netherlands,Waste treatment,Thousand tonnes,"8,121"
2000,Netherlands,Recycling - material,Thousand tonnes,"1,899"
2000,Austria,Waste generated,Thousand tonnes,"4,646"
2000,Austria,Waste treatment,Thousand tonnes,"5,069"
2000,Austria,Recycling - material,Thousand tonnes,"1,129"
2000,Poland,Waste generated,Thousand tonnes,"12,226"
2000,Poland,Waste treatment,Thousand tonnes,"12,226"
2000,Poland,Recycling - material,Thousand tonnes,13
2000,Portugal,Waste generated,Thousand tonnes,"4,705"
2000,Portugal,Waste treatment,Thousand tonnes,"4,705"
2000,Portugal,Recycling - material,Thousand tonnes,157
2000,Romania,Waste generated,Thousand tonnes,"7,961"
2000,Romania,Waste treatment,Thousand tonnes,"6,611"
2000,Slovenia,Waste generated,Thousand tonnes,"1,020"
2000,Slovenia,Waste treatment,Thousand tonnes,861
2000,Slovenia,Recycling - material,Thousand tonnes,47
2000,Slovakia,Waste generated,Thousand tonnes,"1,369"
2000,Slovakia,Waste treatment,Thousand tonnes,"1,340"
2000,Slovakia,Recycling - material,Thousand tonnes,34
2000,Finland,Waste generated,Thousand tonnes,"2,600"
2000,Finland,Waste treatment,Thousand tonnes,"2,724"
2000,Finland,Recycling - material,Thousand tonnes,677
2000,Sweden,Waste generated,Thousand tonnes,"3,793"
2000,Sweden,Waste treatment,Thousand tonnes,"3,773"
2000,Sweden,Recycling - material,Thousand tonnes,"1,091"
2000,United Kingdom,Waste generated,Thousand tonnes,"33,954"
2000,United Kingdom,Waste treatment,Thousand tonnes,"33,954"
2000,United Kingdom,Recycling - material,Thousand tonnes,"2,836"
2000,Iceland,Waste generated,Thousand tonnes,130
2000,Iceland,Waste treatment,Thousand tonnes,135
2000,Iceland,Recycling - material,Thousand tonnes,17
2000,Norway,Waste generated,Thousand tonnes,"2,755"
2000,Norway,Waste treatment,Thousand tonnes,"2,755"
2000,Norway,Recycling - material,Thousand tonnes,606
2000,Switzerland,Waste generated,Thousand tonnes,"4,731"
2000,Switzerland,Waste treatment,Thousand tonnes,"4,731"
2000,Switzerland,Recycling - material,Thousand tonnes,"1,500"
2000,Turkey,Waste generated,Thousand tonnes,"30,617"
2000,Turkey,Waste treatment,Thousand tonnes,"24,696"
2001,European Union - 28 countries,Waste generated,Thousand tonnes,"253,761"
2001,European Union - 28 countries,Waste treatment,Thousand tonnes,"242,155"
