TIME,GEO,UNIT,AIRPOL,SRC_CFR,Value
2000,European Union - 28 countries and Iceland under the Kyoto Protocol,Thousand tonnes,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",All sectors and indirect CO2 (excluding memo items),"4,891,426.32"
2000,European Union - 28 countries and Iceland under the Kyoto Protocol,Thousand tonnes,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",All sectors and indirect CO2 (excluding LULUCF and memo items),"5,179,062.24"
2000,European Union - 28 countries and Iceland under the Kyoto Protocol,Thousand tonnes,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","All sectors and indirect CO2 (excluding LULUCF and memo items, including international aviation)","5,294,893.37"
2000,European Union - 28 countries and Iceland under the Kyoto Protocol,Thousand tonnes,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",All sectors (excluding memo items),"4,888,553.76"
2000,European Union - 28 countries and Iceland under the Kyoto Protocol,Thousand tonnes,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",All sectors (excluding LULUCF and memo items),"5,176,190.08"
2000,European Union - 28 countries and Iceland under the Kyoto Protocol,Thousand tonnes,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","All sectors (excluding LULUCF and memo items, including international aviation)","5,292,020.80"
2000,European Union - 28 countries and Iceland under the Kyoto Protocol,Thousand tonnes,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",Energy,"4,025,458.27"
2000,European Union - 28 countries and Iceland under the Kyoto Protocol,Thousand tonnes,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",Industrial processes and product use,"456,607.68"
2000,European Union - 28 countries and Iceland under the Kyoto Protocol,Thousand tonnes,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",Agriculture,"462,201.45"
2000,European Union - 28 countries and Iceland under the Kyoto Protocol,Thousand tonnes,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Land use, land use change, and forestry (LULUCF)","-287,636.33"
2000,European Union - 28 countries and Iceland under the Kyoto Protocol,Thousand tonnes,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",Waste management,"231,922.69"
2000,European Union - 28 countries and Iceland under the Kyoto Protocol,Thousand tonnes,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",Other sectors,0
2000,European Union - 28 countries,Thousand tonnes,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",All sectors and indirect CO2 (excluding memo items),"4,874,782.37"
