TIME,GEO,VEHICLE,UNIT,Value
2000,European Union - 28 countries,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,17.5
2000,European Union - 28 countries,Trains,Percentage,7.1
2000,European Union - 28 countries,Passenger cars,Percentage,82.5
2000,European Union - 28 countries,"Motor coaches, buses and trolley buses",Percentage,10.4
2000,Belgium,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,17
2000,Belgium,Trains,Percentage,6.3
2000,Belgium,Passenger cars,Percentage,83
2000,Belgium,"Motor coaches, buses and trolley buses",Percentage,10.8
2000,Bulgaria,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,39.2
2000,Bulgaria,Trains,Percentage,7.8
2000,Bulgaria,Passenger cars,Percentage,60.8
2000,Bulgaria,"Motor coaches, buses and trolley buses",Percentage,31.4
2000,Czechia,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,26.9
2000,Czechia,Trains,Percentage,8.3
2000,Czechia,Passenger cars,Percentage,73.1
2000,Czechia,"Motor coaches, buses and trolley buses",Percentage,18.6
2000,Denmark,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,20.4
2000,Denmark,Trains,Percentage,8.7
2000,Denmark,Passenger cars,Percentage,79.6
2000,Denmark,"Motor coaches, buses and trolley buses",Percentage,11.7
2000,Germany (until 1990 former territory of the FRG),"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,14.8
2000,Germany (until 1990 former territory of the FRG),Trains,Percentage,7.7
2000,Germany (until 1990 former territory of the FRG),Passenger cars,Percentage,85.2
2000,Germany (until 1990 former territory of the FRG),"Motor coaches, buses and trolley buses",Percentage,7.1
2000,Estonia,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,30.2
2000,Estonia,Trains,Percentage,2.7
2000,Estonia,Passenger cars,Percentage,69.8
2000,Estonia,"Motor coaches, buses and trolley buses",Percentage,27.5
2000,Ireland,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,19.4
2000,Ireland,Trains,Percentage,3.2
2000,Ireland,Passenger cars,Percentage,80.6
2000,Ireland,"Motor coaches, buses and trolley buses",Percentage,16.2
2000,Greece,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,27.2
2000,Greece,Trains,Percentage,2.2
2000,Greece,Passenger cars,Percentage,72.8
2000,Greece,"Motor coaches, buses and trolley buses",Percentage,25.1
2000,Spain,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,19
2000,Spain,Trains,Percentage,5.4
2000,Spain,Passenger cars,Percentage,81
2000,Spain,"Motor coaches, buses and trolley buses",Percentage,13.5
2000,France,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,13.9
2000,France,Trains,Percentage,8.6
2000,France,Passenger cars,Percentage,86.1
2000,France,"Motor coaches, buses and trolley buses",Percentage,5.3
2000,Croatia,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,18.6
2000,Croatia,Trains,Percentage,5.1
2000,Croatia,Passenger cars,Percentage,81.4
2000,Croatia,"Motor coaches, buses and trolley buses",Percentage,13.6
2000,Italy,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,16.7
2000,Italy,Trains,Percentage,5.8
2000,Italy,Passenger cars,Percentage,83.3
2000,Italy,"Motor coaches, buses and trolley buses",Percentage,10.9
2000,Cyprus,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,22.3
2000,Cyprus,Passenger cars,Percentage,77.7
2000,Cyprus,"Motor coaches, buses and trolley buses",Percentage,22.3
2000,Latvia,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,23.1
2000,Latvia,Trains,Percentage,4.8
2000,Latvia,Passenger cars,Percentage,76.9
2000,Latvia,"Motor coaches, buses and trolley buses",Percentage,18.4
2000,Lithuania,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,17.8
2000,Lithuania,Trains,Percentage,3.2
2000,Lithuania,Passenger cars,Percentage,82.2
2000,Lithuania,"Motor coaches, buses and trolley buses",Percentage,14.6
2000,Luxembourg,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,14.5
2000,Luxembourg,Trains,Percentage,5.1
2000,Luxembourg,Passenger cars,Percentage,85.5
2000,Luxembourg,"Motor coaches, buses and trolley buses",Percentage,9.5
2000,Hungary,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,38.1
2000,Hungary,Trains,Percentage,13
2000,Hungary,Passenger cars,Percentage,61.9
2000,Hungary,"Motor coaches, buses and trolley buses",Percentage,25.1
2000,Malta,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,20.4
2000,Malta,Passenger cars,Percentage,79.6
2000,Malta,"Motor coaches, buses and trolley buses",Percentage,20.4
2000,Netherlands,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,14
2000,Netherlands,Trains,Percentage,9.4
2000,Netherlands,Passenger cars,Percentage,86
2000,Netherlands,"Motor coaches, buses and trolley buses",Percentage,4.6
2000,Austria,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,20.8
2000,Austria,Trains,Percentage,9.8
2000,Austria,Passenger cars,Percentage,79.2
2000,Austria,"Motor coaches, buses and trolley buses",Percentage,11
2000,Poland,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,35.7
2000,Poland,Trains,Percentage,10.3
2000,Poland,Passenger cars,Percentage,64.3
2000,Poland,"Motor coaches, buses and trolley buses",Percentage,25.4
2000,Portugal,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,18.3
2000,Portugal,Trains,Percentage,4.6
2000,Portugal,Passenger cars,Percentage,81.7
2000,Portugal,"Motor coaches, buses and trolley buses",Percentage,13.6
2000,Romania,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,28.5
2000,Romania,Trains,Percentage,16.3
2000,Romania,Passenger cars,Percentage,71.5
2000,Romania,"Motor coaches, buses and trolley buses",Percentage,12.2
2000,Slovenia,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,17.1
2000,Slovenia,Trains,Percentage,2.9
2000,Slovenia,Passenger cars,Percentage,82.9
2000,Slovenia,"Motor coaches, buses and trolley buses",Percentage,14.3
2000,Slovakia,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,35.6
2000,Slovakia,Trains,Percentage,7.7
2000,Slovakia,Passenger cars,Percentage,64.4
2000,Slovakia,"Motor coaches, buses and trolley buses",Percentage,27.8
2000,Finland,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,16.6
2000,Finland,Trains,Percentage,5.1
2000,Finland,Passenger cars,Percentage,83.4
2000,Finland,"Motor coaches, buses and trolley buses",Percentage,11.5
2000,Sweden,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,14.9
2000,Sweden,Trains,Percentage,6.9
2000,Sweden,Passenger cars,Percentage,85.1
2000,Sweden,"Motor coaches, buses and trolley buses",Percentage,7.9
2000,United Kingdom,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,11.9
2000,United Kingdom,Trains,Percentage,5.3
2000,United Kingdom,Passenger cars,Percentage,88.1
2000,United Kingdom,"Motor coaches, buses and trolley buses",Percentage,6.6
2000,Iceland,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,11.4
2000,Iceland,Passenger cars,Percentage,88.6
2000,Iceland,"Motor coaches, buses and trolley buses",Percentage,11.4
2000,Norway,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,11.7
2000,Norway,Trains,Percentage,4.5
2000,Norway,Passenger cars,Percentage,88.3
2000,Norway,"Motor coaches, buses and trolley buses",Percentage,7.1
2000,Switzerland,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,18.9
2000,Switzerland,Trains,Percentage,13.7
2000,Switzerland,Passenger cars,Percentage,81.1
2000,Switzerland,"Motor coaches, buses and trolley buses",Percentage,5.2
2000,North Macedonia,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,15.5
2000,North Macedonia,Trains,Percentage,2
2000,North Macedonia,Passenger cars,Percentage,84.5
2000,North Macedonia,"Motor coaches, buses and trolley buses",Percentage,13.5
2000,Turkey,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,54.1
2000,Turkey,Trains,Percentage,3.4
2000,Turkey,Passenger cars,Percentage,45.9
2000,Turkey,"Motor coaches, buses and trolley buses",Percentage,50.7
2001,European Union - 28 countries,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,17.2
2001,European Union - 28 countries,Trains,Percentage,7
2001,European Union - 28 countries,Passenger cars,Percentage,82.8
2001,European Union - 28 countries,"Motor coaches, buses and trolley buses",Percentage,10.2
2001,Belgium,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,17.4
2001,Belgium,Trains,Percentage,6.4
2001,Belgium,Passenger cars,Percentage,82.6
2001,Belgium,"Motor coaches, buses and trolley buses",Percentage,11
2001,Bulgaria,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,38.5
2001,Bulgaria,Trains,Percentage,6.6
2001,Bulgaria,Passenger cars,Percentage,61.5
2001,Bulgaria,"Motor coaches, buses and trolley buses",Percentage,32
2001,Czechia,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,28.2
2001,Czechia,Trains,Percentage,8.3
2001,Czechia,Passenger cars,Percentage,71.8
2001,Czechia,"Motor coaches, buses and trolley buses",Percentage,19.9
2001,Denmark,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,20.8
2001,Denmark,Trains,Percentage,9.1
2001,Denmark,Passenger cars,Percentage,79.2
2001,Denmark,"Motor coaches, buses and trolley buses",Percentage,11.7
2001,Germany (until 1990 former territory of the FRG),"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,14.5
2001,Germany (until 1990 former territory of the FRG),Trains,Percentage,7.6
2001,Germany (until 1990 former territory of the FRG),Passenger cars,Percentage,85.5
2001,Germany (until 1990 former territory of the FRG),"Motor coaches, buses and trolley buses",Percentage,6.9
2001,Estonia,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,29.9
2001,Estonia,Trains,Percentage,1.9
2001,Estonia,Passenger cars,Percentage,70.1
2001,Estonia,"Motor coaches, buses and trolley buses",Percentage,28
2001,Ireland,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,19.4
